counter,start,storeDLT,storeKfrags,finish
8,1444,1668,63,40,93,10
0,1171,2338,42,46,224,15
2,2356,2634,9,10,23,14
10,2333,4275,26,16,20,26
1,2303,6843,6,7,10,4
9,2154,7612,6,12,20,11
5,2119,8913,11,11,15,7
6,1447,11738,5,7,20,5
11,2121,11995,11,12,25,25
15,12547,2965,13,18,43,7
14,11395,4633,15,9,56,6
3,11707,6869,8,10,10,6
7,11318,8335,5,7,13,13
19,8197,8638,9,12,29,24
13,8805,9876,7,7,13,10
18,7550,10909,31,58,30,11
17,3974,10895,21,18,34,9
4,10791,3320,7,21,28,50
12,5779,3852,7,21,19,8
16,1283,3232,6,7,10,5
