counter,start,storeDLT,storeKfrags,finish
8,1444,1668,63,40,93,10
0,1171,2559,23,15,99,32
2,2356,3321,6,8,16,12
10,2333,4838,14,9,20,36
1,2303,6478,23,17,26,6
9,2154,8104,13,11,25,24
5,2119,10161,13,5,27,13
6,1447,10511,6,5,14,16
11,2121,12713,6,9,10,5
15,12547,2811,6,15,27,23
3,11707,4473,9,11,17,10
14,11395,5901,7,8,18,7
7,11318,6029,6,9,14,5
19,8197,8537,10,13,29,10
13,8805,8590,12,10,40,6
18,7550,10929,66,45,66,5
17,3974,12453,10,8,18,15
4,10791,3267,7,10,37,11
12,5779,4816,8,9,12,8
16,1283,3844,6,7,10,5
