counter,start,storeDLT,storeKfrags,finish
8,1444,1668,63,40,93,10
0,1171,2447,16,61,143,14
2,2356,2831,7,10,20,14
10,2333,4157,7,11,57,15
1,2303,7499,6,7,11,5
9,2154,7737,30,23,32,9
5,2119,9676,7,8,26,13
6,1447,11616,6,8,12,13
11,2121,13436,6,11,11,8
15,12547,1639,10,11,14,6
14,11395,5172,6,8,11,5
3,11707,6057,6,15,22,11
7,11318,7625,5,7,8,5
19,8197,7769,5,7,21,7
13,8805,10806,5,7,12,6
18,7550,10614,6,7,9,4
17,3974,12213,6,5,10,9
4,10791,3428,11,31,80,11
12,5779,5137,18,15,11,4
16,1283,3776,5,5,9,4
