counter,start,storeDLT,storeKfrags,finish
15,1444,1668,63,40,93,10
1,1444,1668,63,40,93,10
0,1263,1497,6,8,15,5
3,1161,2979,5,7,25,6
9,2835,2994,8,11,20,9
2,2746,2344,11,13,32,6
17,2161,4456,5,9,12,6
7,2066,4476,7,11,59,6
8,4738,2614,7,13,18,13
10,5158,2121,6,9,12,12
16,5161,4072,10,12,21,20
14,4991,5559,6,6,9,7
4,2273,5857,10,9,25,7
13,2264,8252,14,9,17,6
5,9324,2131,6,15,21,6
18,8763,3132,6,10,10,21
12,8226,5385,15,16,11,13
11,7138,6978,9,12,39,15
19,1250,2203,7,10,10,13
6,1111,2222,6,10,18,4
