counter,start,storeDLT,storeKfrags,finish
15,1444,1668,63,40,93,10
1,1444,1668,63,40,93,10
0,1263,1549,6,9,14,8
3,1161,2467,7,9,34,12
9,2835,2845,7,8,11,6
2,2746,3739,9,10,27,49
17,2161,4433,6,6,8,5
7,2066,5644,5,5,13,13
8,4738,1810,10,18,36,26
10,5158,2826,9,11,12,7
16,5161,4182,27,18,27,18
14,4991,5598,6,16,73,12
4,2273,8334,5,12,33,13
13,2264,8295,10,15,16,13
5,9324,1483,6,10,15,4
18,8763,4614,7,9,13,4
12,8226,4800,11,8,9,5
11,7138,7054,17,17,31,14
19,1250,1502,8,62,12,12
6,1111,1835,14,9,13,11
