counter,start,storeDLT,storeKfrags,finish
15,1444,1668,63,40,93,10
1,1444,1668,63,40,93,10
0,1263,2381,6,6,18,27
3,1161,3028,5,11,6,9
9,2835,4174,7,18,34,12
2,2746,2379,10,15,17,6
17,2161,3838,9,9,39,22
7,2066,5796,10,8,11,11
8,4738,1983,6,9,79,10
10,5158,2380,7,10,14,5
16,5161,4442,11,12,28,8
14,4991,5584,5,8,19,19
4,2273,8217,6,10,12,27
13,2264,8406,6,12,23,5
5,9324,1187,9,9,12,7
18,8763,3153,6,19,34,5
12,8226,5251,12,20,12,6
11,7138,7237,12,12,16,6
19,1250,2855,10,21,14,7
6,1111,1512,5,7,9,4
