counter,start,storeDLT,storeKfrags,finish
15,1444,1668,63,40,93,10
1,1444,1668,63,40,93,10
0,1263,1308,8,17,19,14
3,1161,1274,7,12,14,11
9,2835,2445,5,5,17,8
2,2746,2425,8,11,33,17
17,2161,5274,6,14,9,11
7,2066,4601,8,8,17,12
8,4738,2312,5,5,10,17
10,5158,2920,17,30,64,16
16,5161,3015,9,37,64,11
14,4991,5876,5,20,19,19
4,2273,7056,9,22,27,27
13,2264,8501,8,8,11,23
5,9324,2920,5,9,10,16
18,8763,4472,6,11,18,7
12,8226,5231,12,10,19,28
11,7138,6982,14,16,50,16
19,1250,1813,6,8,9,5
6,1111,1556,6,4,9,4
