counter,start,storeDLT,storeKfrags,finish
4,7414,13227,139,95,163
1,10315,17751,173,100,128
3,8960,26367,147,89,157
0,11098,34828,253,140,156
15,9609,40032,161,103,172
5,6061,46786,152,81,122
16,50870,12060,134,92,132
12,50533,19000,162,82,116
2,45906,26716,144,89,154
19,40782,29610,139,101,164
11,41073,37643,159,101,155
6,24604,44779,189,93,126
14,22907,50541,138,95,133
8,15007,58942,153,114,145
13,19305,64716,159,90,131
9,135751,15178,5617,4841,3997
10,143164,21015,3509,3287,1632
7,131542,30048,399,565,222
18,138505,40048,198,208,151
17,40780,11229,139,131,214
