counter,start,storeDLT,storeKfrags,finish
0,4819,7016,108,73,109
9,4472,11839,110,66,114
1,5213,17911,120,59,123
4,5594,23649,178,63,102
2,5407,27677,113,133,108
13,10014,28135,128,69,102
11,16282,28266,152,60,103
19,31700,19322,110,63,111
16,29595,23609,109,60,105
7,29889,22608,110,59,102
12,31793,24594,110,61,101
8,26875,29700,588,99,120
5,23920,34503,446,827,924
10,23924,40000,113,63,107
3,25165,35224,116,61,103
6,26249,33675,108,63,103
14,23703,37252,112,68,102
15,44746,20552,110,60,105
18,41064,24844,111,72,103
17,35173,15147,111,60,103
