counter,start,storeDLT,storeKfrags,finish
0,4819,8388,109,63,103
9,4472,11322,128,71,110
1,5213,17238,124,59,103
4,5594,23103,111,58,138
2,5407,26345,112,66,104
13,10014,27120,109,61,104
11,16282,27894,125,69,105
19,31700,17163,115,124,105
16,29595,22498,136,64,108
7,29889,23672,113,69,120
12,31793,24837,118,66,124
8,26875,30202,109,161,117
5,23920,34956,432,795,564
10,23924,39490,116,70,104
3,25165,35091,113,66,105
6,26249,32237,113,65,104
14,23703,38029,119,73,104
15,44746,19981,113,77,105
18,41064,25449,283,69,103
17,35173,13669,110,63,111
