counter,start,storeDLT,storeKfrags,finish
1,1444,1668,63,40,93,10
0,1215,2361,6,6,8,4
18,2711,2610,9,11,33,7
2,2782,3213,8,11,17,10
12,1127,4922,7,9,29,14
5,4746,2328,10,16,14,7
15,2805,3060,14,17,25,18
8,6456,4346,6,5,18,14
4,2126,5879,7,13,26,14
13,2106,8110,9,12,24,21
3,3353,8694,21,19,16,7
6,4150,7814,5,9,12,8
10,7949,4066,5,14,44,16
17,8015,5368,114,58,67,23
9,7809,6947,9,11,12,9
19,5627,1342,13,10,32,12
14,1086,3054,9,7,9,5
7,2110,4658,6,8,8,7
11,2548,1400,14,26,12,7
16,2240,1228,6,14,14,14
