counter,start,storeDLT,storeKfrags,finish
0,2886,7565,111,68,114
2,2894,15665,122,67,106
16,3250,25221,118,63,106
1,3561,35518,127,70,107
8,32359,23862,111,64,122
7,41985,25637,121,64,112
10,42397,34973,117,72,108
9,41993,42046,110,65,110
5,40184,52258,129,63,103
14,38033,60360,110,66,109
11,36002,69019,121,59,104
15,36302,78287,110,60,104
17,36446,87135,111,77,125
6,33613,99921,115,69,106
4,34357,108090,126,71,109
3,31616,117613,109,65,112
13,32024,127842,112,66,113
12,30320,135785,116,67,113
19,118208,8005,109,65,111
18,52636,18064,112,76,112
