counter,start,storeDLT,storeKfrags,finish
0,2875,8010,115,72,104
1,3804,15692,131,64,105
9,2882,28358,110,68,113
7,31998,13663,109,70,113
19,34832,21204,116,62,107
8,32312,32553,111,62,104
3,32275,42688,115,69,107
6,31193,53475,119,67,110
12,31644,62885,115,72,110
5,31143,76785,125,79,106
2,29567,85262,119,60,119
15,29398,100807,113,64,111
13,27425,107028,122,64,110
10,22034,119640,118,77,107
4,102898,32006,110,62,106
17,120619,18314,119,58,119
11,115580,31670,116,65,117
16,121933,38073,112,63,113
14,105569,54606,116,70,108
18,32986,60283,114,63,115
