counter,start,storeDLT,storeKfrags,finish
0,2875,9116,116,73,106
1,3804,16913,109,60,107
9,2882,31027,113,68,105
7,31998,10443,123,66,110
19,34832,23886,109,60,103
8,32312,34790,114,70,109
3,32275,44024,117,59,113
6,31193,55135,111,60,107
12,31644,65890,110,59,111
5,31143,73419,112,64,106
2,29567,87037,119,75,123
15,29398,93550,114,62,104
13,27425,108701,112,67,107
10,22034,120090,121,61,103
4,102898,37567,124,69,105
17,120619,21315,111,59,104
11,115580,29001,113,62,117
16,121933,39875,109,59,107
14,105569,49482,115,60,107
18,32986,61494,111,68,114
