counter,start,storeDLT,storeKfrags,finish
11,8792,11408,139,68,108
2,11049,20153,126,73,115
1,12617,27223,127,69,112
6,4717,38122,115,63,107
0,14734,43602,116,66,107
14,10569,50767,115,66,107
18,15199,59599,124,72,117
17,13064,72187,118,73,120
5,16783,82326,114,73,110
4,4722,91174,114,64,107
13,15449,94232,123,66,109
3,11632,103967,120,77,112
8,112179,23503,626,120,111
7,117757,15678,123,70,111
16,24777,30116,116,64,108
9,72423,34323,116,69,112
12,97164,44769,123,101,107
19,25823,50275,121,67,114
10,74174,69810,125,80,110
15,33575,3766,123,77,116
