counter,start,storeDLT,storeKfrags,finish
11,8792,11871,117,70,111
2,11049,20508,119,68,184
1,12617,27564,114,77,115
6,4717,37410,116,64,108
0,14734,44831,121,63,122
14,10569,51295,120,62,105
18,15199,59956,118,73,111
17,13064,72765,115,69,113
5,16783,82673,115,66,120
4,4722,90112,118,60,109
13,15449,93861,116,61,107
3,11632,103624,124,66,106
8,112179,19810,145,165,115
7,117757,15314,128,91,110
16,24777,28756,116,70,109
9,72423,34663,119,71,122
12,97164,43387,115,67,105
19,25823,50915,115,76,108
10,74174,69678,119,76,110
15,33575,4115,117,69,109
