counter,start,storeDLT,storeKfrags,finish
15,3082,6097,120,63,112
0,4010,8595,111,69,113
4,3896,12143,113,67,122
1,3719,14272,432,547,111
11,3897,18104,109,65,103
6,2433,22353,114,72,103
7,19549,7778,111,74,107
13,18018,8527,114,66,108
2,16897,10387,110,67,104
8,14991,13340,112,70,108
3,10456,16223,111,66,103
18,6757,16973,109,61,102
5,17277,6045,122,61,103
9,16829,9501,109,61,103
12,2625,4799,114,60,105
16,2701,5207,117,61,103
19,2705,5055,111,77,118
14,1619,6686,113,67,119
17,2842,3877,113,65,111
10,2604,4547,114,62,108
