counter,start,storeDLT,storeKfrags,finish
0,2284,2387,79,70,70
4,2291,2768,45,74,58
1,2435,4221,39,60,57
9,4652,2365,13,22,7
3,3216,3183,56,166,131
6,3339,2237,14,19,13
7,2283,2664,147,510,268
2,2876,2368,27,36,57
8,2233,2143,17,21,25
5,2303,2206,42,41,19
