counter,start,storeDLT,storeKfrags,finish
1,13133,10064,459,131,103
0,15202,16503,109,67,108
7,5785,23956,112,66,101
2,8785,39278,109,68,110
6,12391,43360,122,80,102
3,9064,47403,113,62,104
10,10065,54680,134,63,102
4,15031,62257,116,61,108
5,12602,70410,127,63,103
16,13163,78051,112,66,105
8,3260,84321,111,66,102
18,99092,19806,1046,1704,120
14,104597,26537,155,303,200
19,10050,29742,112,93,110
17,77633,38006,111,68,107
9,44065,47285,120,82,105
11,87559,58637,121,68,232
13,69141,89178,999,461,106
15,97688,94116,146,91,102
12,9912,15939,124,67,105
