counter,start,storeDLT,storeKfrags,finish
0,2847,3055,110,60,117
2,3245,15573,113,66,113
3,2765,29102,113,62,106
6,3002,32847,115,71,116
5,22324,27117,198,84,115
1,22461,38193,117,66,105
8,32842,37821,114,65,119
12,41188,39005,115,64,109
4,39183,48004,120,65,104
10,38991,55152,109,64,109
11,38330,65004,110,65,117
14,34066,73690,147,67,113
13,32833,83938,109,67,120
7,31357,92743,121,70,107
17,29974,102772,110,66,116
9,37785,102348,110,60,108
15,105681,12782,109,57,105
16,102601,12766,121,62,108
18,86022,30358,112,67,108
19,36167,30848,181,67,104
