counter,start,storeDLT,storeKfrags,finish
17,9293,7075,121,66,107
6,8636,12251,110,67,118
1,9518,19278,111,65,248
2,7496,24646,111,65,113
4,9574,29764,109,82,109
0,10035,34949,142,59,102
18,28251,18943,113,64,116
8,33493,15219,112,71,114
9,36240,19838,128,64,104
3,36476,25026,113,69,105
13,43838,30500,111,94,108
10,22521,36165,114,60,105
11,15901,33059,154,63,127
5,24228,39059,109,65,105
7,14656,42177,109,67,106
12,19172,49006,124,62,104
15,37727,29504,110,66,116
14,51673,24273,492,120,150
19,44738,7850,112,145,112
16,8900,11482,214,149,102
