counter,start,storeDLT,storeKfrags,finish
0,2300,2732,15,19,13
3,2260,3504,201,336,86
1,2353,5555,21,15,13
6,6783,2464,87,42,35
2,6307,2902,81,427,706
5,3181,2419,92,229,124
8,2250,2318,62,225,151
4,2232,2335,56,110,63
7,2236,3371,140,164,40
9,3281,3638,118,31,38
