counter,start,storeDLT,storeKfrags,finish
0,2922,5814,110,67,114
17,3253,19888,117,69,108
1,3814,24071,161,86,121
5,33477,8102,109,58,105
2,34062,18585,113,64,115
4,32819,29822,123,64,105
8,34778,45726,110,68,105
16,33358,57455,115,66,113
7,31398,60481,122,64,104
12,31914,71345,111,67,120
10,29694,82472,118,71,121
9,28531,94324,113,64,107
3,23485,103583,113,68,115
6,23285,120825,110,62,112
14,8782,125191,131,77,112
11,71207,69983,122,60,105
18,125016,24407,111,62,107
19,115307,25828,111,71,108
15,104998,37636,115,62,104
13,89157,47629,119,93,105
