counter,start,storeDLT,storeKfrags,finish
0,2922,9448,117,58,110
17,3253,17210,120,68,114
1,3814,29792,126,66,103
5,33477,11592,110,78,107
2,34062,24834,114,67,106
4,32819,38719,109,66,115
8,34778,43127,131,80,116
16,33358,55326,112,60,117
7,31398,66555,115,77,112
12,31914,75060,129,68,112
10,29694,84146,110,65,109
9,28531,98565,110,64,113
3,23485,109382,112,96,107
6,23285,118235,110,81,116
14,8782,128519,115,66,126
11,71207,79138,112,65,104
18,125016,30977,127,66,106
19,115307,30057,116,65,108
15,104998,40269,112,64,108
13,89157,50217,110,65,108
