counter,start,storeDLT,storeKfrags,finish
0,4829,10514,115,69,110
5,3999,19903,109,64,112
2,5373,29170,121,68,108
1,4347,35667,110,71,108
6,13284,35224,112,66,108
7,22540,34746,110,64,134
4,35964,23723,110,62,108
9,29805,32167,112,67,104
19,33102,39812,111,71,111
10,32934,48250,109,61,104
3,36143,64536,111,59,136
13,30808,74478,110,63,127
18,33368,126241,120,454,106
17,33347,136127,111,70,103
16,55581,103187,109,60,104
12,90437,72948,121,404,173
8,96763,68128,113,64,103
14,113983,63095,113,66,113
11,139712,48166,493,1034,360
15,42735,13871,110,60,103
