counter,start,storeDLT,storeKfrags,finish
0,4551,4476,124,66,105
1,6406,14219,159,104,126
6,4889,20068,114,67,109
9,5550,25163,115,66,104
3,9727,26504,109,64,103
4,10856,28990,110,68,102
15,10653,35544,122,69,107
8,13498,37886,109,65,112
18,25636,32435,112,68,111
2,22323,37548,114,67,101
7,25324,36798,138,96,102
10,35845,30907,110,63,102
12,42092,30739,125,61,110
5,41287,36082,112,64,114
14,32580,24129,121,72,115
13,29089,23281,114,78,103
19,34224,17375,109,69,104
17,22412,11436,121,68,113
16,21205,21822,119,80,121
11,17363,10139,226,139,111
