counter,start,storeDLT,storeKfrags,finish
0,2856,2612,114,59,103
8,2993,12644,113,63,104
1,2671,21283,115,58,104
2,2964,31535,112,66,110
3,22593,29411,111,63,110
4,40401,17452,114,63,106
13,40429,31048,116,63,110
14,35881,42777,115,67,106
11,35481,48170,111,67,104
7,29979,64071,111,62,104
12,29622,67593,111,64,109
10,29776,75006,116,68,104
19,29689,84973,111,67,103
9,25610,99089,117,74,104
5,35589,92819,124,61,102
18,31006,102418,110,68,109
16,22207,113009,113,64,111
6,31189,122717,112,67,105
17,19574,130862,112,66,111
15,117964,2422,110,66,111
