counter,start,storeDLT,storeKfrags,finish
0,2885,7936,113,67,111
3,2675,17259,125,64,109
8,2802,26773,117,88,103
1,13096,27322,114,67,105
2,13630,38381,141,60,104
5,30958,29378,111,73,108
4,30646,38678,112,74,103
12,30126,48316,110,66,114
10,26008,57437,119,59,104
7,37799,47088,118,71,115
9,31595,57869,170,60,108
16,26393,67372,111,65,110
6,61886,39423,117,67,109
14,62142,48233,114,69,106
15,50086,58576,110,64,101
18,67547,37341,112,65,105
17,53462,47964,112,82,108
11,46038,55767,111,66,111
13,44179,65794,118,67,113
19,2878,6754,111,74,103
