counter,start,storeDLT,storeKfrags,finish
0,3382,12956,114,60,106
8,3410,19331,110,67,104
18,3990,30500,170,160,304
19,3877,36893,111,58,104
5,10977,39672,117,65,105
1,23662,33593,118,82,106
11,31659,30583,114,71,107
16,34527,31158,129,68,123
2,39722,37780,111,68,117
3,33240,43142,113,66,107
9,35952,42643,116,66,106
6,28246,36604,111,81,135
12,31323,42939,123,65,111
15,28586,45515,114,61,103
13,41023,29756,111,66,107
4,49077,15436,127,63,105
10,43917,19669,130,61,108
7,43030,26663,116,67,115
14,48308,33310,119,67,105
17,8759,5585,116,68,107
