counter,start,storeDLT,storeKfrags,finish
0,2631,5717,109,67,112
3,2883,11043,110,64,111
1,2621,15292,132,62,103
2,2481,18521,112,78,111
10,2650,22308,111,65,104
5,2916,26504,112,70,107
12,24043,6715,114,62,105
6,24053,10259,127,64,106
4,20156,13894,117,62,106
8,20343,18394,113,59,105
7,16400,22816,112,70,116
11,13287,26799,108,113,109
18,20240,6421,119,61,106
17,11537,9621,114,76,112
16,2504,5907,110,62,105
9,2436,8857,110,70,122
19,2586,6507,110,64,111
14,2564,5252,119,62,109
15,2552,4441,134,68,107
13,4022,6106,118,68,127
