counter,start,storeDLT,storeKfrags,finish
14,7137,11294,109,58,110
0,7770,18117,116,68,106
4,3574,774020,23981,-1,-1
6,4703,776659,20195,16451,3780
2,7578,771493,27132,14216,8269
1,7948,776096,23902,16266,4795
7,771958,148384,1328,2170,6641
15,697250,153214,2523,2340,5289
12,774544,159831,3453,3180,4209
8,745062,164166,4516,3156,3622
17,537404,159185,2673,2637,6604
10,746661,157143,2252,1555,6278
18,670143,157112,5673,2461,2489
19,703991,165368,4292,2568,5419
9,731871,159666,10155,1621,1885
13,770289,165180,2763,8078,2373
3,757357,160706,2721,8088,2376
11,739618,165407,16125,759,449
16,757433,165137,16061,267,1578
5,749323,160567,16023,438,1471
