counter,start,storeDLT,storeKfrags,finish
0,4242,13627,128,70,110
8,5044,24622,175,63,107
3,4177,34972,115,72,108
4,15591,34544,117,71,113
5,15792,45839,117,65,107
1,16483,50632,120,69,107
10,25172,55169,118,74,114
13,35272,53281,117,71,113
19,37335,58804,116,66,111
7,27300,70379,117,79,107
2,38644,77878,115,70,108
12,51892,61292,114,61,107
14,47751,68576,116,75,113
16,45497,80086,179,66,113
9,47600,87826,117,75,118
6,49551,87364,116,73,115
18,78813,61054,138,77,139
11,74962,69316,198,74,109
15,76803,26407,121,153,201
17,9577,9613,129,67,153
