counter,start,storeDLT,storeKfrags,finish
0,4242,11209,118,72,112
8,5044,23697,114,73,116
3,4177,33453,122,67,131
4,15591,33526,114,70,113
5,15792,41281,134,70,109
1,16483,52186,117,74,108
10,25172,53655,117,76,115
13,35272,52565,130,66,109
19,37335,56804,121,67,112
7,27300,68837,115,64,112
2,38644,76040,121,69,114
12,51892,58987,114,71,106
14,47751,67833,117,74,113
16,45497,78300,117,64,113
9,47600,85239,258,78,110
6,49551,85860,167,66,108
18,78813,60679,114,67,107
11,74962,68786,117,70,124
15,76803,25520,117,73,110
17,9577,12519,123,67,107
