counter,start,storeDLT,storeKfrags,finish
0,4242,3901,153,886,109
8,5044,18031,118,76,107
3,4177,25976,163,155,111
4,15591,31499,122,70,119
5,15792,38438,116,68,117
1,16483,47099,118,72,111
10,25172,50025,117,67,109
13,35272,48357,119,73,134
19,37335,54624,114,64,107
7,27300,64593,122,67,116
2,38644,72448,117,72,113
12,51892,59598,115,71,116
14,47751,67648,155,75,109
16,45497,73656,115,69,111
9,47600,82279,122,69,111
6,49551,82150,119,83,109
18,78813,56565,118,68,114
11,74962,64805,119,71,111
15,76803,24675,114,79,107
17,9577,7678,115,66,107
