counter,start,storeDLT,storeKfrags,finish
6,7688,6749,112,69,118
0,8152,13024,110,60,104
1,6015,18432,111,67,106
5,4446,22836,113,66,105
14,6794,23847,111,62,106
11,19870,18949,109,76,140
4,20189,25302,110,82,116
2,27782,21122,118,92,105
10,27826,106473,2223,3323,7618
18,28829,95679,3109,4841,11567
3,24839,109585,3524,6169,10244
8,16358,117947,2570,5927,6653
15,26242,113141,5625,7233,7143
16,20762,102483,3958,5995,7157
7,19575,118022,7421,1585,6311
9,95841,138916,607,2198,1632
12,116469,143384,1072,1931,2083
13,96109,139748,561,2954,918
17,145041,13593,347,217,530
19,12194,5226,118,71,132
