counter,start,storeDLT,storeKfrags,finish
0,3502,22352,109,71,114
19,4524,37358,172,63,103
3,6393,42025,195,62,103
11,27296,32686,188,160,111
12,27591,38700,109,95,104
8,28784,46971,117,65,104
2,29256,55638,112,59,101
17,40196,59019,109,58,103
6,39700,69466,215,77,101
5,46234,68644,124,81,128
16,45538,76687,110,60,102
15,48731,85596,521,1411,483
7,46194,97340,118,83,104
9,41772,107470,131,77,103
1,49135,114705,113,67,102
4,46743,122279,122,120,106
10,51369,149395,527,3411,1092
18,54002,138456,3685,971,702
13,136062,13906,423,1439,104
14,151847,13807,388,1541,225
