counter,start,storeDLT,storeKfrags,finish
0,2886,10586,109,65,105
2,2894,21343,111,64,111
16,3250,31777,110,84,120
1,3561,40546,117,72,110
8,32359,26967,110,85,110
7,41985,26421,117,69,105
10,42397,35862,125,69,103
9,41993,45275,109,78,106
5,40184,54930,113,64,115
14,38033,64148,120,70,105
11,36002,74261,112,63,106
15,36302,83297,110,63,114
17,36446,92944,111,64,115
6,33613,97246,110,68,114
4,34357,111535,114,65,106
3,31616,120953,119,66,115
13,32024,131332,121,71,108
12,30320,139845,122,70,109
19,118208,11183,114,64,105
18,52636,18618,112,69,114
