counter,start,storeDLT,storeKfrags,finish
0,2886,11917,115,69,105
2,2894,20228,111,69,120
16,3250,29674,109,64,130
1,3561,40865,110,63,125
8,32359,26180,111,70,105
7,41985,26310,115,69,111
10,42397,35751,110,79,118
9,41993,45624,109,68,108
5,40184,54161,115,63,112
14,38033,65365,110,68,106
11,36002,74483,132,66,104
15,36302,82184,127,59,109
17,36446,91957,113,68,108
6,33613,97360,118,60,106
4,34357,110889,116,59,116
3,31616,120729,110,67,117
13,32024,125176,116,79,122
12,30320,139732,114,81,110
19,118208,10965,109,59,106
18,52636,18947,112,59,109
