counter,start,storeDLT,storeKfrags,finish
0,2465,3278,112,65,105
18,2403,6052,109,65,104
8,1387,7778,112,68,114
3,2406,8894,113,70,111
10,2380,12206,111,64,112
1,4535,10082,112,70,106
11,10677,8368,121,67,122
17,9944,4677,111,68,116
9,7751,6619,111,66,109
13,5332,5217,114,61,102
6,8283,6441,113,78,103
19,6148,6724,119,69,110
2,7582,4185,113,68,111
5,6719,4645,117,63,104
4,6617,6691,110,62,105
14,5014,5634,116,64,103
7,5029,8540,114,63,108
12,2478,4195,117,67,105
16,2506,3198,110,66,105
15,2506,3177,123,59,103
