counter,start,storeDLT,storeKfrags,finish
0,3689,4648,110,71,102
2,2176,9847,113,73,102
12,3384,15275,109,156,105
1,4500,19868,118,68,101
9,16438,17128,121,65,111
3,15450,21466,112,64,104
14,22330,16356,131,118,102
4,20526,21409,110,65,105
5,20321,26591,122,63,120
7,18311,31396,113,63,112
19,18535,36351,126,58,103
6,17663,41545,116,64,118
11,26775,36431,112,93,198
13,21442,44421,113,63,102
18,26538,46626,109,87,110
17,42775,18950,109,62,103
16,42811,24592,124,69,107
8,37366,12464,109,67,104
10,26007,16660,119,64,124
15,3416,3630,118,67,107
