counter,start,storeDLT,storeKfrags,finish
0,2905,9573,125,61,104
4,3214,17318,118,60,104
2,2735,27945,129,67,116
7,35130,12344,110,65,113
1,35592,20406,111,72,119
11,35546,30923,111,76,111
12,34573,40906,112,67,106
19,34320,53793,118,61,105
3,34088,64461,109,68,109
8,27121,72353,118,68,106
17,26241,85337,120,64,107
6,26238,94636,113,75,105
13,23763,111594,117,73,117
5,21964,115651,110,65,106
16,16806,130676,112,60,103
10,19075,139131,121,77,108
14,113944,42666,109,64,109
9,147913,19844,111,66,103
18,142906,25275,127,63,103
15,46181,37175,111,64,112
