counter,start,storeDLT,storeKfrags,finish
0,3840,3975,115,62,107
2,3794,11586,184,67,104
6,9356,11570,109,64,107
5,16557,12249,108,60,105
1,11482,19518,115,64,117
8,11705,24466,113,65,108
3,11876,30864,112,71,111
4,16968,29629,112,58,104
11,13842,37543,110,71,107
19,36454,19015,116,68,104
12,30037,24608,110,63,105
15,33903,32128,115,65,112
10,30900,38382,111,71,114
16,36770,37741,110,66,116
9,34954,37389,110,66,104
17,19738,43669,113,62,109
13,22440,49438,116,66,104
7,41648,22119,111,65,111
14,23685,3096,110,78,103
18,6415,10328,114,98,105
