counter,start,storeDLT,storeKfrags,finish
0,2922,4456,109,66,103
7,3363,14867,110,67,109
6,3033,25783,118,65,102
3,24452,19620,135,59,103
8,24951,36069,111,62,103
5,25082,40489,109,65,104
2,25288,51106,112,66,106
11,33532,56518,108,65,111
1,32546,66574,116,65,106
15,34612,73225,121,67,106
10,32916,89362,109,75,103
4,34196,94040,117,64,109
12,30672,104900,111,65,111
19,20709,115625,110,74,113
13,20658,126240,112,60,104
17,58897,96558,110,70,113
16,56098,103458,110,63,111
18,55293,113313,110,64,103
14,128721,34849,116,62,103
9,121416,47733,114,65,107
