counter,start,storeDLT,storeKfrags,finish
0,2623,5716,112,63,110
2,1428,10099,109,65,114
1,2468,13899,117,64,104
7,3693,17108,111,66,109
4,12749,11317,110,67,107
6,18353,10946,111,71,104
5,18944,14265,113,64,114
3,19136,18635,114,65,110
10,15390,23255,118,64,103
8,13667,26715,115,61,113
18,12362,31002,112,76,128
13,10560,32727,118,80,115
14,31022,9894,112,87,105
15,30305,14028,126,66,104
9,29247,18121,116,80,112
16,28536,21369,113,64,112
12,24107,22429,110,58,110
17,11737,26084,120,63,109
19,26386,5630,112,62,115
11,19705,9833,108,62,106
