counter,start,storeDLT,storeKfrags,finish
0,2494,1412,113,61,128
1,2436,5556,110,71,113
3,1441,9053,109,74,108
2,8966,4481,110,75,119
12,7897,5447,112,64,106
5,9265,7767,111,68,114
4,6856,11179,111,67,111
15,11281,4636,112,65,114
9,11335,7845,118,66,118
13,9580,10342,112,86,115
6,9705,11663,119,64,105
10,7642,13649,118,87,105
19,10482,2274,113,59,117
7,4760,2299,109,64,120
11,2474,4091,185,59,103
14,5409,2311,125,73,127
8,2513,2344,111,63,153
17,1494,2327,112,64,116
16,2489,2319,109,64,107
18,2477,3439,141,71,112
