counter,start,storeDLT,storeKfrags,finish
0,4829,11479,150,80,125
4,5103,22360,122,82,117
3,5075,30371,206,96,160
7,6506,46133,152,79,120
1,6825,57694,123,118,122
5,7299,65767,170,90,114
9,7354,78906,123,75,125
12,40102,56775,163,96,156
8,41558,68493,120,106,129
2,72951,47816,114,70,142
11,79661,50145,143,67,112
6,70322,60688,133,95,155
17,67873,70306,114,71,178
15,65021,77957,122,93,132
16,72582,70457,152,77,113
13,68410,78931,128,84,120
14,69435,88850,111,72,114
18,67342,96688,115,78,144
10,63404,108695,115,80,170
19,3230,5494,130,86,120
