counter,start,storeDLT,storeKfrags,finish
0,2822,12533,113,66,109
1,2792,19783,110,74,120
5,20598,13151,110,62,139
18,17774,23120,111,65,107
2,16791,32023,111,62,104
7,16985,38431,117,60,103
3,9961,50865,115,69,108
6,10563,59974,121,57,104
4,8337,68837,117,68,115
9,61126,25126,111,65,106
11,69619,24266,109,62,103
8,71415,33464,110,60,104
14,66732,42987,112,67,103
10,58112,54860,114,68,107
12,64486,64058,120,65,102
15,48461,70162,111,60,104
13,42750,81912,111,64,110
19,42879,91498,110,65,137
16,33592,101031,115,64,135
17,94265,11297,125,68,103
