counter,start,storeDLT,storeKfrags,finish
0,2861,10830,123,63,108
14,2718,19510,117,65,103
1,2944,27780,129,72,107
4,27958,13230,113,66,134
10,28104,22337,113,67,114
2,28412,30387,119,68,103
6,26088,39386,114,71,106
15,27303,47090,115,74,114
3,25100,55934,111,73,117
7,15945,64186,119,76,103
8,6814,73244,117,67,113
5,10787,81855,113,75,104
11,13961,80274,126,69,106
19,81163,11652,111,71,110
16,77598,19793,111,69,107
13,72342,28595,128,63,123
17,68995,36747,110,68,111
9,63972,45359,111,66,107
18,32181,53573,120,65,111
12,51338,10370,117,64,105
