counter,start,storeDLT,storeKfrags,finish
0,2536,5417,141,72,106
1,2436,7037,111,68,114
6,5854,6266,115,100,110
2,8289,6257,119,69,104
12,4726,9378,129,65,106
9,5142,7767,113,66,116
16,8697,7656,111,89,109
3,7523,8223,112,72,116
7,7390,11342,111,101,121
11,7243,14486,113,71,117
4,5965,16706,110,76,118
18,6090,20624,113,67,107
5,6185,23492,111,69,129
10,8074,23360,111,60,105
13,8340,26601,110,69,116
8,23049,8303,109,65,123
15,7827,6042,136,85,111
14,3992,6600,112,68,115
17,2503,4442,124,76,116
19,2493,4222,112,67,111
