counter,start,storeDLT,storeKfrags,finish
0,2885,4582,111,62,112
3,2675,14191,113,61,102
8,2802,23654,119,63,127
1,13096,23756,111,61,125
2,13630,34172,113,60,115
5,30958,25958,115,67,103
4,30646,35420,109,64,109
12,30126,43737,112,59,104
10,26008,53103,112,68,104
7,37799,44658,110,65,110
9,31595,54535,111,68,103
16,26393,65726,115,66,104
6,61886,36585,110,63,105
14,62142,44783,115,60,103
15,50086,55349,111,65,113
18,67547,35014,114,75,111
17,53462,45406,207,65,104
11,46038,52324,114,66,103
13,44179,62358,113,66,113
19,2878,3473,119,67,102
