counter,start,storeDLT,storeKfrags,finish
0,6820,7956,108,70,130
5,6038,12407,111,82,111
7,7233,20786,113,66,120
10,7566,24087,114,64,111
14,4066,27288,113,63,116
6,3757,34304,109,59,104
1,5128,36263,136,64,105
13,28241,20101,115,65,115
8,40822,15289,117,95,107
18,29995,21206,190,61,108
2,38831,26068,191,70,105
4,28031,32183,115,64,104
3,37707,37191,117,64,103
11,26807,33879,111,68,108
16,27046,42452,112,96,167
15,13176,47324,113,65,105
12,18766,73727,146,153,141
19,66667,9123,128,191,303
17,58515,8947,614,274,278
9,146027,5667,1112,344,226
