counter,start,storeDLT,storeKfrags,finish
0,6820,9244,111,63,112
5,6038,13636,111,72,111
7,7233,18686,123,72,103
10,7566,26073,112,64,122
14,4066,27004,110,61,102
6,3757,34903,109,81,104
1,5128,35792,111,71,108
13,28241,22065,119,65,104
8,40822,15739,116,70,104
18,29995,21430,125,182,128
2,38831,22669,133,77,161
4,28031,30615,115,60,126
3,37707,37930,118,64,120
11,26807,34659,119,67,110
16,27046,40499,113,73,119
15,13176,44737,110,71,113
12,18766,74032,211,90,434
19,66667,9354,210,326,369
17,58515,9037,535,263,255
9,146027,5473,1303,345,744
