counter,start,storeDLT,storeKfrags,finish
0,6820,8822,124,68,105
5,6038,13307,136,67,108
7,7233,21115,111,62,104
10,7566,24750,290,174,112
14,4066,29876,251,108,103
6,3757,35958,108,67,103
1,5128,39946,119,77,107
13,28241,23039,115,71,106
8,40822,16066,111,63,118
18,29995,20980,114,75,111
2,38831,26391,110,60,109
4,28031,30255,114,69,128
3,37707,38387,122,64,105
11,26807,35115,110,65,163
16,27046,38989,112,63,105
15,13176,46761,113,67,187
12,18766,73537,128,109,109
19,66667,9044,117,226,308
17,58515,9378,215,335,148
9,146027,10208,122,82,233
