counter,start,storeDLT,storeKfrags,finish
6,1444,1668,63,40,93,10
0,1307,2531,10,23,21,20
9,1172,3005,6,9,21,7
2,2653,2643,32,20,119,23
13,2489,4781,5,10,19,7
15,2292,6606,9,8,14,5
4,2034,7383,6,14,48,5
1,2066,8264,7,12,13,10
19,6600,4269,5,7,17,27
3,8758,1414,7,18,17,9
10,7903,4139,11,23,53,19
7,6480,5522,8,15,14,16
5,4944,7296,8,5,11,5
11,5164,2901,6,8,12,6
16,1254,2823,11,18,42,7
18,1149,4015,7,15,14,7
14,3411,1476,16,18,18,12
8,3441,2644,14,22,43,9
12,3471,1664,9,11,12,6
17,1150,2071,10,16,11,6
