counter,start,storeDLT,storeKfrags,finish
0,2836,6786,113,67,103
10,2760,17041,128,60,106
14,2908,26831,121,73,104
7,2925,35954,110,66,114
18,3225,45147,111,59,102
5,13153,48786,109,62,113
4,13489,57035,110,66,105
13,50875,29928,116,94,108
2,50833,40442,123,58,102
1,51206,50641,112,64,109
17,51397,58374,112,67,108
19,46508,68479,113,67,108
12,46520,77991,115,61,104
16,63561,67695,123,62,103
11,61504,77182,111,63,104
3,57938,86943,111,68,107
6,54085,97419,111,62,102
8,50616,105369,117,70,104
15,28298,114891,111,63,101
9,77461,64086,110,60,103
