counter,start,storeDLT,storeKfrags,finish
0,2922,5563,112,62,105
7,3363,18647,110,58,101
6,3033,29625,109,64,127
3,24452,23868,122,69,108
8,24951,32715,113,66,117
5,25082,41344,112,59,103
2,25288,54109,123,58,106
11,33532,54066,112,59,121
1,32546,63468,116,80,110
15,34612,74123,113,63,108
10,32916,88677,113,65,112
4,34196,96039,116,61,121
12,30672,107602,116,62,105
19,20709,116629,119,61,103
13,20658,128365,111,72,105
17,58897,94869,119,67,102
16,56098,104784,114,67,107
18,55293,116982,111,67,104
14,128721,37193,117,59,106
9,121416,47293,109,60,103
