counter,start,storeDLT,storeKfrags,finish
13,9053,11501,118,150,203
3,10726,13310,109,59,103
8,5948,24271,109,58,104
2,9551,28378,112,64,103
0,11676,32349,116,64,105
16,10774,43002,109,65,108
1,7152,50190,111,66,101
19,-1,-1,-1,-1,-1
15,117453,26338,4048,2920,2139
12,106131,70122,148,65,202
9,115246,84627,118,92,225
18,90763,92278,114,77,114
14,89422,110030,239,94,110
4,125158,111887,120,71,119
5,109984,137890,113,66,148
7,95681,155838,117,67,128
11,94846,184076,111,63,106
6,114619,193918,110,68,102
17,125210,205513,113,72,109
10,122478,215013,110,65,101
