counter,start,storeDLT,storeKfrags,finish
0,2856,5881,112,64,107
8,2993,16556,114,65,105
1,2671,28027,110,98,127
2,2964,34202,112,65,110
3,22593,31184,111,61,109
4,40401,21456,112,69,102
13,40429,28831,113,69,111
14,35881,39122,119,61,105
11,35481,49282,118,72,115
7,29979,62057,109,73,103
12,29622,68683,114,63,105
10,29776,78015,115,62,104
19,29689,89645,109,66,105
9,25610,101199,110,67,108
5,35589,95806,113,66,105
18,31006,108659,113,63,116
16,22207,115359,111,72,105
6,31189,125307,111,65,112
17,19574,133771,114,64,104
15,117964,5384,112,69,105
