counter,start,storeDLT,storeKfrags,finish
0,2856,7770,110,63,114
8,2993,18338,112,69,107
1,2671,28459,112,62,105
2,2964,35524,110,65,110
3,22593,30398,110,66,112
4,40401,23841,115,63,110
13,40429,31377,110,65,106
14,35881,41897,110,66,111
11,35481,51182,122,66,103
7,29979,56437,117,63,107
12,29622,70280,118,63,105
10,29776,79939,111,63,109
19,29689,91866,113,62,103
9,25610,97634,109,74,112
5,35589,97793,114,67,112
18,31006,105425,112,64,108
16,22207,117019,112,74,106
6,31189,126850,113,68,118
17,19574,135637,110,66,109
15,117964,7182,118,60,106
