counter,start,storeDLT,storeKfrags,finish
0,2913,9612,111,61,103
9,2310,21820,113,60,102
4,2879,28863,117,65,106
8,3246,42145,113,60,104
1,25296,35649,110,69,107
12,36123,35754,115,65,107
11,36459,47762,111,73,110
15,43996,45730,127,65,104
3,48210,52889,112,64,110
7,40175,67174,130,61,102
5,43415,77688,113,60,104
2,38093,88835,126,68,103
13,30667,99225,112,68,110
10,29128,109810,112,68,111
17,37543,106187,115,63,115
6,37748,120942,114,71,109
18,32514,131517,114,77,104
14,104165,41701,112,70,112
19,107610,52563,120,68,102
16,134957,30748,113,67,106
