counter,start,storeDLT,storeKfrags,finish
0,2913,4173,111,69,120
9,2310,14580,110,77,104
4,2879,25527,110,71,102
8,3246,36420,110,69,103
1,25296,31234,114,65,109
12,36123,31256,109,62,103
11,36459,40954,133,63,102
15,43996,39273,117,63,107
3,48210,57679,116,65,106
7,40175,60830,110,85,103
5,43415,71563,111,73,105
2,38093,83459,111,66,105
13,30667,96327,111,75,104
10,29128,103119,109,88,101
17,37543,114417,111,64,107
6,37748,114585,114,64,106
18,32514,124736,112,67,104
14,104165,36683,114,59,116
19,107610,46117,111,66,106
16,134957,23204,116,65,106
