counter,start,storeDLT,storeKfrags,finish
0,2974,11526,118,74,106
4,4700,19933,111,83,103
8,4353,29324,115,86,104
2,5123,35942,111,68,107
10,3602,45237,111,70,103
7,4532,54129,127,104,161
1,13594,54589,109,62,105
18,53409,23500,109,66,112
13,54964,30768,122,77,115
17,52562,40447,122,74,108
9,50950,49171,110,72,118
3,49077,58288,115,71,110
15,48199,66567,109,64,114
5,56058,61378,117,62,108
12,44076,73359,123,66,112
6,35922,80729,118,62,113
11,29153,91604,109,60,106
14,20332,97954,118,71,104
16,18410,107843,121,62,111
19,50229,79990,118,67,105
