counter,start,storeDLT,storeKfrags,finish
0,2434,2593,53,97,91
1,2668,6860,28,26,16
6,2813,8303,511,579,178
4,4549,8535,20,26,28
7,5189,13841,25,24,16
2,13034,6096,53,32,16
9,9872,3236,26,89,193
8,7768,3448,20,21,14
3,2345,2263,38,54,87
5,2416,2386,56,75,81
