counter,start,storeDLT,storeKfrags,finish
0,4829,5200,110,62,104
5,3999,14097,110,64,106
2,5373,23903,119,65,113
1,4347,28543,109,67,105
6,13284,29574,115,126,131
7,22540,28919,111,71,103
4,35964,17910,114,65,108
9,29805,27588,113,73,104
19,33102,34226,122,70,106
10,32934,42149,109,63,107
3,36143,54294,153,154,348
13,30808,65927,110,63,105
18,33368,117010,112,62,461
17,33347,131867,111,80,326
16,55581,101214,110,72,161
12,90437,75595,115,63,109
8,96763,66894,110,69,107
14,113983,59008,119,80,105
11,139712,36527,172,67,125
15,42735,11343,458,1177,546
